"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"56110005";"Ponte Nova";2025-01-13 12:00:00;2025-01-13 11:00:00;2025-01-13 10:00:00;207;-11;-4;-8;-69;4,6;50;"DOCE";162;;"2012";171;75;421;"70%-80%";
"56610000";"Piracicaba";2025-01-13 12:00:00;2025-01-13 11:00:00;2025-01-13 10:00:00;210;42;47;-43;43;34,8;57,4;"DOCE";218;;"1997";142;21;464;"80%-90%";
"56661000";"Nova Era";2025-01-13 12:15:00;2025-01-13 11:15:00;2025-01-13 10:15:00;201;21;75;-100;-2;15,2;22,6;"DOCE";159;;"2022";113;44;405;"70%-80%";
"56696000";"Má De Carvalho";2025-01-13 11:30:00;2025-01-13 10:30:00;2025-01-13 09:30:00;322;80;122;-32;162;91,2;164,4;"DOCE";;;"2022";185,5;39;589;"80%-90%";
"56825000";"Naque Velho";2025-01-13 12:15:00;2025-01-13 11:15:00;2025-01-13 10:15:00;541;85;105;36;107;85,8;118,2;"DOCE";269;;"2016";279;169;511;"100%-Máxima";
"56850000";"Governador Valadares";2025-01-13 12:15:00;2025-01-13 11:15:00;2025-01-13 10:15:00;344;23;47;56;109;38,6;54;"DOCE";178;;"1997";230;116;533;"80%-90%";
"56994500";"Colatina";2025-01-13 12:15:00;2025-01-13 11:15:00;2025-01-13 10:15:00;399;-3;49;126;150;1;16;"DOCE";192;;"2013";209;26;752;"80%-90%";
