"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"86472000";"Linha José Julio";2025-08-01 18:30:00;2025-08-01 17:30:00;2025-08-01 16:30:00;459;;179;67;25;0;1,2;"TAQUARI";;;"2023";298;224;450;"100%-Máxima";
"86472600";"Santa Tereza";2025-08-01 17:45:00;2025-08-01 16:45:00;2025-08-01 15:45:00;336;52;164;45;80;0;1,8;"TAQUARI";;;;;;;;
"86510000";"Muçum";2025-08-01 18:15:00;2025-08-01 17:15:00;2025-08-01 16:15:00;331;15;145;31;76;0,2;0,6;"TAQUARI";;;"2020";218,5;68;1107;"70%-80%";
"86720000";"Encantado";2025-08-01 18:15:00;2025-08-01 17:15:00;2025-08-01 16:15:00;162;-10;114;58;66;0;1,2;"TAQUARI";;;"2020";220;92;1029;"20%-30%";
"86879300";"Estrela";2025-08-01 18:15:00;2025-08-01 17:15:00;2025-08-01 16:15:00;1304;8;24;19;23;0;0,2;"TAQUARI";;;"2023";1291,5;1291;1292;"100%-Máxima";
