"";"ETP em 24 horas (mm)";"ETP em 7 dias (mm)";"ETP em 14 dias (mm)";"ETP em 28 dias (mm)"
"41818000_SANTO_HIPÓLITO";1,61493076923077;11,6954615384615;24,4820153846154;49,6021442307692
"41990000_VÁRZEA_DA_PALMA";1,64618461538462;11,9086538461538;24,8863230769231;50,3777423076923
"42980000_PORTO_ALEGRE";1,98811538461538;14,2836384615385;29,5679;59,6506615384615
"43429998_ARINOS_MONTANTE";2,07083846153846;14,7444076923077;30,1308384615385;60,4789634615385
"44200000_SAO_FRANCISCO";1,84939230769231;13,3348;27,7378076923077;56,0476903846154
"44940000_GADO_BRAVO";1,74613846153846;12,7175076923077;26,7387923076923;54,0076076923077
"45131000_SÃO_GONÇALO";2,09548461538462;14,8831461538462;30,3459;60,9726038461538
"45960001_PORTO_NOVO";2,16621538461538;15,3470461538462;31,1688615384615;62,5010769230769
"46902000_BOQUEIRÃO";2,42374615384615;17,0892153846154;34,4346538461538;68,7551230769231
"56110000_PONTE_NOVA";1,59566153846154;11,6096846153846;24,4789384615385;49,7908673076923
"56540001_CACHOEIRA_DOS_ÓCULOS";1,57965384615385;11,4966615384615;24,2471384615385;49,3126653846154
"56660000_NOVA_ERA";1,66948461538462;12,0861076923077;25,3262846153846;51,4453923076923
"56696000_MARIO_DE_CARVALHO";1,66308461538462;12,0392923076923;25,2266923076923;51,2400173076923
"56719998_BELO_ORIENTE";1,61336153846154;11,7227153846154;24,6738538461538;50,1585980769231
"56825000_NAQUE_VELHO";1,69993076923077;12,3042692307692;25,7686615384615;52,3054096153846
"56850000_GOVERNADOR_VALADARES";1,64436153846154;11,9305;25,0628692307692;50,9177634615385
"56892000_VILA_MATIAS";1,79346153846154;12,9765615384615;27,1473615384615;55,0414673076923
"56920000_TUMIRITINGA";1,66907692307692;12,1077384615385;25,4214923076923;51,6171461538462
"56990000_SÃO_SEBASTIÃO_DA_ENCRUZILHADA";1,59661538461538;11,5981230769231;24,3979923076923;49,5742115384615
"56994500_COLATINA";1,63893846153846;11,8980615384615;25,0039769230769;50,7748673076923
"58730001_GUARANI";1,56896153846154;11,4421230769231;24,1847615384615;49,1874807692308
"58735000_ASTOLFO_DUTRA";1,54659230769231;11,2917;23,9007769230769;48,6255538461538
"58736000_BARRA_DO_XOPOTÓ";1,50286153846154;11,0161384615385;23,4234076923077;47,6791211538462
"58770000_CATAGUASES";1,52998461538462;11,1815153846154;23,6942076923077;48,213325
"58790000_SANTO_ANTÔNIO_DE_PÁDUA";1,53432307692308;11,2150846153846;23,7727;48,3839403846154
"58792100_APERIBÉ";1,53492307692308;11,2195153846154;23,7822307692308;48,4033019230769
"58920000_PATROCÍNIO_DO_MURIAÉ";1,58004615384615;11,5134076923077;24,3165153846154;49,4640423076923
"58930000_CARANGOLA";1,63956153846154;11,8885769230769;24,9554;50,6869730769231
"58934000_PORCIUNCULA";1,66002307692308;12,0627307692308;25,3901307692308;51,608625
"58940000_ITAPERUNA";1,61167692307692;11,7473923076923;24,8199692307692;50,4916403846154
"58960000_CARDOSO_MOREIRA";1,60146923076923;11,6802230769231;24,6945692307692;50,2386961538462
"66010000_BARRA_DO_BUGRES";2,36906153846154;16,7977769230769;34,1787846153846;68,6517673076923
"66070004_CACERES_DNPVN";2,34402307692308;16,6547692307692;33,9976153846154;68,3976807692308
"66077500_HOTEL_BAIAZINHA";2,32745384615385;16,5624230769231;33,8790230769231;68,2006423076923
"66090000_DESCALVADOS";2,31782307692308;16,5110076923077;33,8237;68,1255173076923
"66120000_PORTO_CONCEICAO";2,30079230769231;16,4132769230769;33,6911;67,9058423076923
"66125000_BELA_VISTA_DO_NORTE";2,29896153846154;16,4106153846154;33,7154307692308;67,9778269230769
"66260002_CUIABA";2,22873846153846;15,8504692307692;32,3741769230769;65,0750096153846
"66270000_SANTO_ANTONIO_DO_LEVERGER";2,20690769230769;15,7015;32,0884615384615;64,5130980769231
"66460000_CORREGO_GRANDE";2,1508;15,4039;31,7629615384615;64,0319980769231
"66470000_SAO_JOSE_DO_BORIREU";2,21223846153846;15,7904769230769;32,4286692307692;65,3427673076923
"66600000_SAO_JERONIMO";2,08105384615385;14,9246076923077;30,8391384615385;62,2360192307692
"66650000_SAO_JOSE_DO_PIQUIRI";2,15936153846154;15,4499461538462;31,8275076923077;64,1785442307692
"66750000_PORTO_DO_ALEGRE";2,1579;15,4513384615385;31,8658;64,2886673076923
"66800000_AMOLAR";2,27875384615385;16,3240846153846;33,6970923076923;68,033225
"66810000_SÃO_FRANCISCO";2,27525384615385;16,3017307692308;33,6584153846154;67,960875
"66825000_LADÁRIO";2,28332307692308;16,3636153846154;33,7985384615385;68,2534615384615
"66870000_COXIM";2,19093846153846;15,7233307692308;32,5288153846154;65,69815
"66895000_PORTO_DA_MANGA";2,26829230769231;16,2642923076923;33,6183461538462;67,9077692307692
"66900000_PONTE_MT738";2,06812307692308;14,9805384615385;31,4003923076923;63,7450269230769
"66910000_MIRANDA";2,08529230769231;15,1023230769231;31,6501846153846;64,2513153846154
"66941000_PALMEIRAS";2,23976923076923;16,0943846153846;33,3676384615385;67,4789365384615
"66945000_AQUIDAUANA";2,21793846153846;15,9597153846154;33,1520384615385;67,0881423076923
"66960008_PORTO_ESPERANÇA";2,23996153846154;16,0828384615385;33,3047076923077;67,3176961538462
"66970000_FORTE_COIMBRA";2,23956153846154;16,0802692307692;33,3002384615385;67,3090576923077
"67030000_BARRANCO_BRANCO";2,23179230769231;16,0746230769231;33,4279769230769;67,6542307692308
"67100000_PORTO_MURTINHO";2,22759230769231;16,0485923076923;33,3855769230769;67,5761365384615
"71200000_Vila_Canoas";1,11714615384615;8,24897692307692;17,7336846153846;36,3068923076923
"71300000_Rio_Bonito";1,10505384615385;8,16635384615385;17,5775615384615;36,00915
"71350001_Encruzilhada_II";1,10475384615385;8,16557692307692;17,5794692307692;36,0161865384615
"72715000_Rio_das_Antas";1,12866923076923;8,38317692307692;18,1657076923077;37,3086134615385
"72810000_Tangara";1,13203846153846;8,41219230769231;18,2403615384615;37,4737307692308
"72849000_Joacaba_I";1,13713846153846;8,45509230769231;18,3468846153846;37,6996269230769
"73770000_Porto_Fae_Novo";1,19674615384615;8,85547692307692;19,1025692307692;39,1923115384615
"73900000_Saudades";1,21013846153846;9,04505384615385;19,7386615384615;40,5824442307692
"73960000_Barra_do_Chapeco_Aux.";1,2215;9,06465384615385;19,6183538461538;40,2692846153846
