"";"Balanco em 24 horas (mm)";"Balanco em 7 dias (mm)";"Balanco em 14 dias (mm)";"Balanco em 28 dias (mm)"
"66070004";2,050525;2,353375;-14,60395;-30,9407
"66270000";-1,782875;9,371625;-6,415775;8,80227500000001
"66460000";0,945875;41,9577;28,927125;39,42215
"66870000";10,213725;26,3016;13,9399;23,316325
"66910000";25,39905;9,1414;-12,164875;-0,440049999999999
"66945000";3,62495;-3,34195;-23,5393;-28,5102
"biomaPantanal";21,57955;25,066325;4,887725;-21,79425
"67100000";17,19235;14,5695;-6,420225;-31,397725
"15400000";13,593625;12,2583;-4,659675;-23,704125
