"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Passado";"C_Max";"Ano_Max";"Mediana";"Percentil";"SPI"
"87160000";"Nova Palmira";2024-08-14 09:45:00;2024-08-14 08:45:00;2024-08-14 07:45:00;57164;-2048;3024;56969;56961;0;0;;;"1982";94,5;"100%-Máxima";
"87170000";"Barca Do Caí";2024-08-14 10:00:00;2024-08-14 09:00:00;2024-08-14 08:00:00;244;-14;-61;-41;-31;0;0,2;;;"2016";281;"40%-50%";
"87270000";"Passo Montenegro";2024-08-14 10:00:00;2024-08-14 09:00:00;2024-08-14 08:00:00;155;-16;-8;-3;;0;0;;;"1961";160;"40%-50%";
