"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Passado";"C_Max";"Ano_Max";"Mediana";"Percentil";"SPI"
"13450000";"ASSIS BRASIL";2024-08-17 17:15:00;2024-08-17 16:15:00;2024-08-17 15:15:00;297;1;2;2;3;0;0;NA;NA;"2012";240;"90%-100%";NA
"13470000";"BRASILEIA";2024-08-17 18:15:00;2024-08-17 17:15:00;2024-08-17 16:15:00;76;-1;-4;-2;-7;0;0;NA;NA;"2015";186;"Mínima-0%";NA
"13550000";"XAPURI";2024-08-08 09:00:00;2024-08-08 08:00:00;2024-08-08 07:00:00;136;0;NA;-2;-7;0;0;NA;NA;"2015";277;"Mínima-0%";NA
"13568000";"CAPIXABA";2024-08-17 18:15:00;2024-08-17 17:15:00;2024-08-17 16:15:00;124;0;-10;9;3;0;0;NA;NA;NA;NA;NA;NA
"13578000";"RIO ROLA";2024-08-17 18:15:00;2024-08-17 17:15:00;2024-08-17 16:15:00;75;-2;-4;-12;-20;0;0;NA;NA;"2022";116,5;"Mínima-0%";NA
"13600002";"RIO BRANCO";2024-08-09 07:00:00;2024-08-09 06:00:00;2024-08-09 05:00:00;151;NA;5;0;-11;0;0;NA;NA;"2015";287;"0%-10%";NA
