"Codigo";"Latitude";"Longitude";"Area";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI";"Atencao";"Alerta";"Inunda";"Status"
15558000;-11,684;-61,192;10100;"PIMENTA BUENO";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;405;1;0;;;0;0;"PIMENTA BUENO";348;;"2014";388;348;438;"70%-80%";;;;;
15558200;-11,444;-61,441;17900;"CACOAL";2025-08-16 23:30:00;2025-08-16 22:30:00;2025-08-16 21:30:00;39;;;;;0;0;"PIRARARA";;;"2022";101;100;104;"Mínima-0%";;;;;
15559000;-11,653;-61,215;16100;"SÍTIO BELA VISTA";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;179;1;1;;;0;0;"MACHADO";125;;"2014";154;125;203;"78%-89%";;;;;
15560000;-10,874;-61,936;32800;"JI-PARANA";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;661;-2;2;15;-6;0;6,8;"MACHADO";;;"2022";645,5;618;679;"80%-90%";;;;;
15564000;-10,832;-62,893;133;"JARUARU";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;26;-404;-11;;;0;0,6;"JARU";4;;"2014";10;-2;25;"100%-Máxima";;;;;
15580000;-8,932;-62,056;60200;"Tabajara";2025-09-12 16:45:00;2025-09-12 15:45:00;2025-09-12 14:45:00;337;;46;14;-14;0;8,2;"MACHADO";;;"2019";315;239;468;"60%-70%";;;;;
15627000;-8,18;-63,091;1020424;"UHE_PAPAGAIO";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;3927;1;-31;-34;-114;0;46,5;"MADEIRA";;;;;;;;;;;;
15627300;-8,193;-63,133;1400000;"ESPÍRITO SANTO";2025-03-31 16:00:00;2025-03-31 15:00:00;2025-03-31 14:00:00;1899;3;11;39;87;0;0;"MADEIRA";;;;;;;;;;;;
15627400;-8,081;-62,878;1400000;"CALAMA";2025-09-12 17:45:00;2025-09-12 16:45:00;2025-09-12 15:45:00;630;;-408;;;0;0;"MADEIRA";;;;;;;;;;;;
15630000;-7,503;-63,018;1090000;"HUMAITÁ";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;1044;-6;-34;;-131;0;35,6;"MADEIRA";;;"2014";1029;896;1411;"50%-60%";;;;;
15700000;-5,817;-61,302;1150000;"MANICORÉ";2025-08-18 09:45:00;2025-08-18 08:45:00;2025-08-18 07:45:00;1553;;;;-243;0;0;"MADEIRA";;;;;;;;;;;;
15860000;-4,897;-60,025;1310000;"FAZENDA VISTA ALEGRE";2025-09-12 08:45:00;2025-09-12 07:45:00;2025-09-12 06:45:00;1306;;;;;0;6,4;"MADEIRA";753;;"1989";1175;763;1433;"70%-80%";;;;;
15960000;-3,547;-58,924;1376282;"URUCURITUBA";2025-09-11 17:00:00;2025-09-11 16:00:00;2025-09-11 15:00:00;1698;-9;-74;-139;-179;0;0;"MADEIRA";957;;"2021";1545,5;981;1777;"89%-100%";;;;;
16030000;-3,154;-58,411;4350000;"Itacoatiara";2025-09-12 07:00:00;2025-09-12 06:00:00;2025-09-12 05:00:00;1113;-10;-66;-124;-170;0;0;"AMAZONAS";410;;"2021";948;434;1242;"70%-80%";;;;;
17050001;-1,919;-55,513;4670000;"Obidos";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;564;-5;-33;-72;-97;0;7,8;"AMAZONAS";;;"2009";452;173;601;"80%-90%";;;;;
17122001;-10,823;-57,727;14334;"JURUA";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;302;2;;;;0;0,4;"DOS PEIXES";;;;;;;;;;;;
17130000;-7,731;-58,281;182000;"Foz do Juruena";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;373;-1;-4;-12;-21;0,2;0,6;"JURUENA";;;"2023";393,5;303;497;"20%-30%";;;;;
17384000;-9,351;-56,781;90704;"UHE TELES PIRES BARRAMENTO";2025-09-12 18:00:00;2025-09-12 17:00:00;2025-09-12 16:00:00;22042;-1;;;;0;0;"TELES PIRES";;;"2019";22043,5;22022;22045;"40%-60%";;;;;
17410100;-8,859;-57,419;132797;"UHE SÃO MANOEL JUSANTE 2";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;481;-2;;;;0;0;"TELES PIRES";;;"2020";421;411;450;"100%-Máxima";;;;;
17420000;-7,615;-57,95;138000;"Três Marias";2025-08-22 13:15:00;2025-08-22 12:15:00;2025-08-22 11:15:00;350;11;63;47;42;0;0;"TELES PIRES";;;"2014";438,5;156;537;"10%-20%";;;;;
17430000;-7,34;-58,155;333000;"BARRA DO SÃO MANUEL";2025-07-05 11:30:00;2025-07-05 10:30:00;2025-07-05 09:30:00;506;-2;;-18;-34;0;0;"TAPAJÓS";244;;"2004";310;243;411;"100%-Máxima";;;;;
17680000;-5,456;-55,87;40200;"JAMANXIM";2025-02-10 22:45:00;2025-02-10 21:45:00;2025-02-10 20:45:00;874;;;;;0;0;"JAMANXIM";;;"2006";306;219;378;"100%-Máxima";;;;;
17730000;-4,276;-55,982;458000;"Itaituba";2025-09-05 16:30:00;2025-09-05 15:30:00;2025-09-05 14:30:00;515;;-30;-56;-74;0;0;"TAPAJOS";;;"2014";384,5;198;527;"90%-100%";;;;;
17900000;-2,414;-54,738;493000;"Santarem";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;539;-6;-26;-65;-82;0;0;"AMAZONAS";;;"2009";376;107;573;"90%-100%";;;;;
18390000;-1,533;-52,577;5460000;"Almeirim";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;435;2;-26;-20;-43;0;0;"AMAZONAS";;;"2022";420;361;444;"62%-75%";;;;;
18460000;-6,736;-51,995;210000;"BOA SORTE";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;344;-1;-5;-11;-22;7,4;7,4;"XINGU";;;"2004";361;312;396;"20%-30%";;;;;
18500000;-6,745;-51,774;42400;"Boa Esperança";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;299;-4;-14;-22;-17;0;0;"FRESCO";;;"2014";212,5;129;468;"50%-60%";;;;;
