"";"Dia + 7";"Dia + 14";"Dia + 21";"Dia + 28";"NA"
"Prev_Caceres";149;203;-;-;149
"Prev_Ladario";32;40;50;59;32
"";-100;-94;-91;-82;-69
"Prev_PMURT";130;138;144;160;130
