"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"58770000";"Cataguases";2025-09-06 13:00:00;2025-09-06 12:00:00;2025-09-06 11:00:00;107;-2;1;8;11;0;0,2;"POMBA";;;"1979";91;59;154;"80%-90%";
"58790002";"Santo Antônio de Pádua II";2025-09-06 12:30:00;2025-09-06 11:30:00;2025-09-06 10:30:00;93;0;22;27;25;0;0;"POMBA";;;"2012";72;32;107;"90%-100%";
"58792100";"Aperibé";2025-09-06 12:45:00;2025-09-06 11:45:00;2025-09-06 10:45:00;66;-1;20;22;16;0;0;"POMBA";;;"2022";43,5;31;81;"86%-100%";
"58940000";"Itaperuna";2025-09-06 13:15:00;2025-09-06 12:15:00;2025-09-06 11:15:00;184;-11;14;17;8;0;0;"MURIAÉ";;;"2008";183,5;140;233;"50%-60%";
"58960000";"Cardoso Moreira";2025-09-06 12:30:00;2025-09-06 11:30:00;2025-09-06 10:30:00;83;-8;;;;1,4;5,3;"MURIAÉ";;;"2008";76;-13;242;"50%-60%";
"58974000";"Campos";2025-09-06 13:15:00;2025-09-06 12:15:00;2025-09-06 11:15:00;471;-4;18;12;11;0;0;"MURIAÉ";;;"1966";607;455;713;"0%-10%";
