"";"ETP em 24 horas (mm)";"ETP em 7 dias (mm)";"ETP em 14 dias (mm)";"ETP em 28 dias (mm)"
"66070004";2,849475;19,826625;39,37395;77,6307
"66270000";2,622875;18,188375;35,975775;70,347725
"66460000";2,644125;18,2423;35,862875;69,23785
"66870000";2,896275;20,0184;39,4401;76,493675
"66910000";3,65095;25,1486;49,344875;94,88005
"66945000";3,40505;23,51195;46,2693;89,5202
"biomaPantanal";3,34045;23,153675;45,772275;89,40425
"67100000";3,47765;24,0605;47,460225;92,277725
"15400000";3,066375;21,5617;43,349675;87,604125
