"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Passado";"C_Max";"Ano_Max";"Mediana";"SPI"
"41340000";"Ponte Raul Soares";2024-03-20 05:00:00;2024-03-20 04:00:00;2024-03-20 03:00:00;149;45;39;23;28;1,8;1,8;;;"2022";160;
"41410000";"Jequitibá";2024-03-20 05:00:00;2024-03-20 04:00:00;2024-03-20 03:00:00;123;17;;;;0;2;157;;"2022";167;
"41650002";"Ponto do Licínio";2024-03-20 05:00:00;2024-03-20 04:00:00;2024-03-20 03:00:00;174;8;-30;-17;-35;4;4;182;;"2022";227;
"41780002";"Presidente Juscelino";2024-03-20 04:15:00;2024-03-20 03:15:00;2024-03-20 02:15:00;90;6;-17;-43;-10;0;0;;;"2020";98,5;
"41818000";"Santo Hipólito";2024-03-20 04:45:00;2024-03-20 03:45:00;2024-03-20 02:45:00;136;7;-63;-66;-68;0;0;149;;"2020";198;
