"Site";"lat";"lon";"DA";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"15400000";-8,7414909061105;-63,9098491828945;976000;"PORTO VELHO";2025-09-20 10:15:00;2025-09-20 09:15:00;2025-09-20 08:15:00;294;2;13;3;-10;0;1,4;"MADEIRA";;;"2014";341;146;838;"30%-40%";
"15250000";-10,7904128147678;-65,3402580392168;609000;"GUAJARA-MIRIM";2025-09-20 10:30:00;2025-09-20 09:30:00;2025-09-20 08:30:00;605;0;-9;-8;4;0;26;"MAMORE";;;"2014";561,5;387;712;"70%-80%";
"15318000";-10,3504498489983;-65,360596199069;834000;"UHE JIRAU JUSANTE RIO BENI";2025-09-20 11:15:00;2025-09-20 10:15:00;2025-09-20 09:15:00;1012;-4;-26;-9;-7;0,2;0,6;"MADEIRA";;;"2014";979;946;1040;"80%-100%";
"15326000";-9,77955908299952;-65,5197841260444;31100;"MORADA NOVA JUSANTE";2025-09-20 10:30:00;2025-09-20 09:30:00;2025-09-20 08:30:00;811;3;-4;-18;-19;0;18,6;"ABUNÃ?";;;"2014";851,5;684;936;"30%-40%";
"15560000";-10,8710172967507;-61,9307115117515;32800;"JI-PARANA";2025-09-20 11:00:00;2025-09-20 10:00:00;2025-09-20 09:00:00;654;-7;-6;-11;10;0;15;"MACHADO";;;"2022";646;613;697;"70%-80%";
"15630000";-7,50077540103552;-63,0102062595394;1090000;"HUMAITÁ";2025-09-20 10:30:00;2025-09-20 09:30:00;2025-09-20 08:30:00;1071;-12;25;-3;;0,2;16,2;"MADEIRA";;;"2014";1018;904;1387;"60%-70%";
"15200000";;;;"Príncípe da Beira";2025-09-20 10:30:00;2025-09-20 09:30:00;2025-09-20 08:30:00;401;-1;-8;-21;-40;0;16,4;"GUAPORÉ";348;;"2014";401,5;348;492;"50%-60%";
"15430000";;;;"Ariquemes";2025-09-20 11:00:00;2025-09-20 10:00:00;2025-09-20 09:00:00;168;57;54;-2;1;0,4;24,8;"JAMARI";;;"2007";194,5;106;286;"20%-30%";
